epoch,phase,train_loss,train_f1_macro,val_loss,val_f1_macro
1,warmup,0.8909672096321957,0.5943891139153473,0.9286905139882918,0.49587596479165935
2,warmup,0.7758902427751487,0.6499974171074144,0.8214164373615629,0.5824070102993343
3,finetune,0.5416919817635989,0.800294867187354,0.36638548413493943,0.860538120324888
4,finetune,0.3646271427851055,0.8718144343128982,0.4557636589588321,0.8293986874424283
5,finetune,0.2863304860045332,0.8894635823424917,0.5345823005205248,0.818661768109234
6,finetune,0.23954980628384812,0.9099252255761957,0.3414175138207867,0.8920645978117242
7,finetune,0.22979627038862888,0.922788060887179,0.6039137108098641,0.8130153383240032
8,finetune,0.20234980821766343,0.9218126206895042,0.4136472191091652,0.8836168613786978
