version,backbone,accuracy,f1_macro,recall_covid,recall_neumonia,best_val_f1_macro,test_rows,artifact_dir
rx-efficientnetb0-20260515-2b92eec9,efficientnet_b0,0.96,0.960078515151551,0.98,0.9333333333333333,0.888084355020149,450,/app/models/radiography/rx-efficientnetb0-20260515-2b92eec9
rx-resnet18-20260515-d397f8e5,resnet18,0.8933333333333333,0.8929190334071434,0.9666666666666667,0.8333333333333334,0.8920645978117242,450,/app/models/radiography/rx-resnet18-20260515-d397f8e5
rx-simplecnn-20260515-e8ac76f0,simple_cnn,0.7022222222222222,0.7012595535305359,0.7,0.7733333333333333,0.6760958108793927,450,/app/models/radiography/rx-simplecnn-20260515-e8ac76f0
